,tv,radio,social_media,influencer,sales
0,16000.0,6566.23,2907.98,Mega,54732.76
1,13000.0,9237.76,2409.57,Mega,46677.9
2,41000.0,15886.45,2913.41,Mega,150177.83
3,83000.0,30020.03,6922.3,Mega,298246.34
4,15000.0,8437.41,1406.0,Micro,56594.18
5,29000.0,9614.38,1027.16,Mega,105889.15
6,55000.0,24893.81,4273.6,Micro,198679.82
7,31000.0,17355.04,2289.85,Nano,108733.93
8,76000.0,24648.9,7130.12,Macro,270189.4
9,13000.0,431.13,2229.42,Mega,48280.58
10,62000.0,24345.19,5151.48,Nano,224961.02
11,42000.0,15807.34,3194.92,Mega,145543.99
12,64000.0,20240.42,3921.15,Micro,229632.38
13,,22351.67,3031.82,Mega,276165.35
14,34000.0,226.33,2372.71,Nano,121336.42
15,36000.0,3900.2,60.4,Nano,123526.11
16,60000.0,22353.72,940.8,Mega,212764.4
17,25000.0,9905.84,1853.22,Micro,89819.92
18,100000.0,36116.09,3674.3,Macro,353804.64
19,92000.0,40736.99,4636.56,Nano,329350.54
20,46000.0,12695.09,3884.58,Macro,162191.33
21,78000.0,35568.22,2832.45,Macro,276401.34
22,37000.0,2828.97,4556.7,Micro,128484.66
23,99000.0,37263.82,6886.53,Nano,349861.58
24,75000.0,20348.99,1227.18,Micro,272250.11
25,54000.0,27807.61,4060.78,Nano,192461.91
26,,34111.67,4624.15,Nano,342913.37
27,27000.0,7280.09,2179.48,Micro,96749.37
28,21000.0,9282.69,3055.76,Mega,76992.93
29,40000.0,13050.41,1971.18,Nano,139288.79
30,67000.0,24137.62,5573.09,Mega,234851.03
31,90000.0,29021.02,6432.0,Micro,323032.18
32,12000.0,3567.66,3558.31,Nano,40792.2
33,81000.0,27335.78,5263.65,Micro,290777.57
34,43000.0,16348.71,2814.01,Mega,150626.49
35,47000.0,17376.53,1905.04,Mega,161785.15
36,43000.0,18230.19,4079.29,Nano,155599.2
37,75000.0,23626.24,6199.77,Mega,263020.69
38,79000.0,23510.57,2188.93,Macro,281578.94
39,65000.0,24563.55,3419.67,Macro,231670.05
40,43000.0,12842.13,2593.7,Macro,148706.97
41,82000.0,27647.59,5611.22,Macro,294952.42
42,68000.0,21639.2,3223.65,Micro,242824.88
43,98000.0,37570.95,8529.6,Mega,351773.07
44,26000.0,10599.53,679.28,Macro,91922.3
45,10000.0,6145.25,1591.12,Macro,32566.83
46,,34859.64,7781.42,Mega,318969.78
47,32000.0,627.62,2676.08,Micro,115262.57
48,29000.0,8852.09,41.49,Macro,101873.1
49,32000.0,11524.15,2566.79,Mega,111899.71
50,29000.0,14434.11,463.28,Macro,104352.67
51,91000.0,40108.53,7236.17,Mega,326381.71
52,83000.0,34281.41,8697.49,Nano,300730.53
53,72000.0,23922.7,3373.81,Mega,255155.17
54,47000.0,24169.13,2087.91,Micro,161717.09
55,10000.0,3455.87,2400.12,Micro,39625.68
56,49000.0,10067.63,1729.67,Macro,169008.11
57,14000.0,5197.86,413.97,Mega,50988.48
58,20000.0,10750.05,2442.17,Macro,70471.72
59,17000.0,10447.45,3356.11,Nano,58590.09
60,68000.0,29892.74,6096.74,Mega,237772.16
61,91000.0,25045.56,6109.37,Macro,322100.5
62,52000.0,17113.24,2638.64,Mega,181079.61
63,41000.0,3921.54,2527.85,Nano,145919.2
64,65000.0,11656.49,358.47,Micro,228564.65
65,82000.0,31607.69,3952.45,Mega,288982.24
66,14000.0,18649.44,4529.93,Mega,49815.67
67,84000.0,31266.41,8080.73,Nano,299099.05
68,99000.0,30140.57,6546.16,Mega,351359.89
69,15000.0,2234.29,1077.72,Mega,55009.71
70,64000.0,24698.52,6741.38,Micro,223099.15
71,70000.0,15247.73,4587.7,Macro,247139.4
72,77000.0,26822.35,5514.19,Nano,274707.1
73,81000.0,20391.95,3212.25,Macro,289175.76
74,46000.0,17790.13,4117.63,Micro,168036.54
75,,6482.29,866.84,Macro,91177.22
76,56000.0,25276.09,3239.27,Mega,198321.52
77,98000.0,33055.16,6063.46,Mega,349745.3
78,47000.0,18233.96,827.55,Mega,166137.22
79,18000.0,8808.7,2414.19,Nano,59289.32
80,77000.0,22955.31,2642.5,Mega,272632.14
81,22000.0,6041.73,2136.63,Mega,77417.32
82,99000.0,37717.81,3590.09,Nano,349423.97
83,36000.0,9096.78,3818.83,Mega,127092.67
84,12000.0,1648.2,1305.73,Mega,43065.09
85,94000.0,47116.29,9322.96,Micro,336593.42
86,97000.0,39232.31,3698.66,Nano,345313.16
